PEEQ-164995,eta-164995,thetabar-164995
0,0.33484103,0.994992835
0.000132229,0.334967986,0.994812896
0.001218534,0.334698783,0.994718164
0.002416485,0.334649143,0.994607852
0.004401301,0.334601805,0.994470247
0.00683757,0.334598355,0.994307188
0.009308357,0.334601106,0.994171198
0.012570771,0.33460093,0.994009457
0.01589505,0.334580577,0.993904305
0.019460265,0.334555758,0.993790071
0.023861008,0.334525837,0.993636113
0.028256891,0.33449669,0.993519426
0.033400051,0.334462286,0.993374818
0.038525421,0.334434699,0.993228336
0.044293568,0.334392297,0.993082821
0.050232254,0.334355612,0.992981556
0.057028487,0.334325387,0.992856386
0.063608155,0.334286883,0.992717622
0.071237698,0.33424442,0.992600007
0.078970939,0.334203458,0.992483376
0.08719445,0.334175722,0.992395395
0.095505536,0.334123903,0.992264347
0.104220636,0.33408032,0.992120082
0.113201939,0.334045366,0.99207152
0.122181848,0.334008296,0.991991228
0.131513238,0.333960658,0.99195495
0.140638322,0.333933382,0.991844519
0.150513634,0.333897336,0.991796989
0.159892261,0.333860228,0.991763459
0.169988513,0.333825861,0.991740915
0.179710925,0.333795262,0.991661108
0.189756364,0.333762676,0.991625375
0.199740186,0.333730819,0.991631754
0.20993273,0.333698166,0.9916524
0.219880953,0.33366716,0.99164077
0.230041981,0.333635927,0.991657143
0.240255669,0.333604759,0.991673503
0.250497371,0.333566363,0.991676063
0.26033017,0.333531049,0.991788109
0.270416141,0.333498491,0.991718609
0.280252188,0.333477968,0.991897477
0.290513277,0.333440583,0.991807308
0.300042868,0.333389631,0.99183934
0.309882075,0.333359199,0.99196921
0.319270372,0.333326135,0.991971773
0.328875601,0.333286909,0.992002441
0.338063717,0.33325191,0.992132545
0.347365439,0.333242886,0.992163548
0.35634762,0.333209122,0.992165771
0.365406573,0.333193852,0.992239363
0.374166876,0.333178312,0.992327718
0.382980376,0.333178159,0.992372732
0.391537845,0.333160627,0.992432758
0.400107652,0.333163944,0.99249321
0.408442289,0.333162843,0.992584282
0.416738391,0.333163435,0.992584446
0.424826711,0.333167712,0.992660509
0.432834387,0.333172241,0.992691135
0.440658867,0.333162609,0.992737309
0.448271871,0.333164214,0.992783761
0.456642717,0.333171688,0.99279925
0.462910712,0.333169359,0.99283021
0.470761329,0.333180802,0.992876681
0.477622509,0.333189288,0.992923538
0.484352082,0.333193398,0.992954762
0.491842121,0.333187128,0.99300209
0.497556895,0.333203614,0.993033756
0.504130304,0.333205556,0.993081711
0.510458231,0.333210532,0.993081106
0.51593405,0.333226866,0.99311286
0.521875143,0.333229474,0.992918811
0.527372837,0.333235522,0.992397205
0.532611132,0.333177309,0.992352077
0.538195968,0.33315045,0.992410195
0.543132842,0.333216186,0.992635085
0.548203945,0.333273489,0.99286717
