timeFrame,surfFac_pnt1,surfFac_pnt2,surfFac_pnt3,surfFac_pnt4
1,0.9541071200674188,0.5459454772118164,1.1438638158424164,1.2859669128991622
2,0.9541071200674188,0.5459454772118164,1.1438638158424164,1.2859669128991622
3,0.9541071200674188,0.5459454772118164,1.1438638158424164,1.2859669128991622
4,0.9541071200674188,0.5459454772118164,1.1438638158424164,1.2859669128991622
5,0.9541071200674188,0.5459454772118164,1.1438638158424164,1.2859669128991622
6,0.9541071200674188,0.5459454772118164,1.1438638158424164,1.2859669128991622
7,0.954348471283966,0.5460835797396375,1.144153167968306,1.2862922114661048
8,0.9521450960758189,0.5589402508602378,1.0940491284602667,1.259284918767143
9,0.868571925641771,0.5917289173333641,1.011206838457968,1.1592686368342688
10,0.8392886860828125,0.616830342310848,0.9771335421494626,1.1164798912594764
11,0.820692953128977,0.6456265103231436,0.9539387898409057,1.0813729931825913
12,0.8082959128740167,0.6712651255871128,0.9374496024001844,1.0544720469606141
13,0.7991902414987591,0.6949602142542944,0.9243902344207771,1.0300073452883984
14,0.7934188841034762,0.714140850185948,0.9145118821374654,1.0102503513487628
15,0.7895992699461741,0.7305695265201475,0.9061807492438525,0.9929319776631085
16,0.787014390202006,0.7444158735160067,0.8996163035782527,0.9789125650472403
17,0.7847712197802782,0.7563785637361735,0.8941078844223297,0.9657306069138767
18,0.7836748130773211,0.7656769803098906,0.8898365740794782,0.9551072636958088
19,0.7826671697753688,0.7742100039353376,0.8860484175858975,0.9456698142494492
20,0.7821200052122931,0.7812422138336332,0.8827427970722117,0.9367716740893546
21,0.781875465291809,0.7872629983223094,0.8805302293264694,0.9291916909440309
22,0.781381546715679,0.7924023213257005,0.8785497872447458,0.9226627263920728
23,0.7811728448984352,0.7967155383765353,0.8769573990291913,0.9158876329872366
24,0.7815555405519481,0.8008086582139918,0.8758657414520705,0.9097771459452543
25,0.7822036045203792,0.8049787347238231,0.8755771672524792,0.9052371285249312
26,0.7832671265194634,0.8089537373299166,0.8759251448775859,0.9000265217228295
27,0.784357332973433,0.812802532394448,0.8766072195683917,0.8960593978928637
28,0.7857118529844463,0.8164738031432682,0.8777197129087208,0.891957435183972
29,0.7870706424113467,0.8200332085241104,0.8785246905818997,0.8886125301594762
30,0.7886950415609731,0.8237283852777829,0.8797606027508462,0.8854606281699376
31,0.7902151837831412,0.8273489357168755,0.8803695672918992,0.8834916122206199
32,0.7917150072310511,0.8307883533967347,0.8811834948615761,0.8816021510237336
33,0.7930052652598094,0.8340110770257568,0.8815091754121415,0.8804138625505178
34,0.7943752977699708,0.8374726216487892,0.8814039934179229,0.8799215825197815
35,0.7956240509394913,0.8409648369051561,0.8815559794623441,0.8803699725072134
36,0.797079992180075,0.8445747916410115,0.8817263361793473,0.8810835786919877
37,0.7985722192006305,0.8481768199626932,0.8819603903323181,0.8820229201037506
38,0.8001986136054954,0.8516683370445032,0.882301917833135,0.8831635755315659
39,0.8019433418868117,0.8549444198907881,0.8830802364347058,0.8848200535115143
40,0.8037543215484749,0.8581016134728028,0.8839856331460724,0.8863657069717054
41,0.8055786999907486,0.860903345711859,0.8851195701685318,0.887997516755911
42,0.807483826171495,0.8634506175896343,0.8864755421406577,0.8896060842574993
43,0.8093792360526627,0.8655068065623402,0.8880085088560863,0.8910762435791294
44,0.811356723396296,0.8672783089669182,0.889801835022605,0.8925321722906475
45,0.813240626791063,0.8687510001817795,0.8916925789706636,0.8937975468804591
46,0.8151471258074618,0.87003147712491,0.8937310525967832,0.8948776885390672
47,0.8169578247968453,0.8710958630120099,0.8957402776163105,0.8957455248322128
48,0.8187554181901655,0.872052338975004,0.8978116615914951,0.8964961537355634
49,0.8204688302507496,0.8728759314886547,0.8998454715965166,0.8970698868763165
50,0.8221763601362946,0.8736524540947396,0.9018671938841681,0.8974925971317267
51,0.8238272150939457,0.8743477908796573,0.9038306116425241,0.8977989096048954
52,0.8254487876518404,0.8750207125290055,0.905769848130631,0.8980276600452706
53,0.8270017081542796,0.8756531713488117,0.9076363326707269,0.8981897026838038
54,0.8285358549329913,0.8762244018289591,0.9094506393839773,0.8983076247271865
55,0.8300176569023049,0.8767774058576161,0.9111806543815072,0.898379315654711
56,0.8314701252985777,0.8773229371633311,0.9128495685937343,0.8984268661841669
57,0.8328779744763464,0.8778316605558766,0.9144480338603725,0.8984303204224057
58,0.8342619644631645,0.8783935058687764,0.9159815568164219,0.8984044012130186
59,0.8355712883813349,0.8788892463416826,0.9174396739591922,0.8983819510721776
60,0.8368432758515197,0.8793668337185935,0.9188915377294481,0.8983831740601874
61,0.8381928810425842,0.8798891269517676,0.9203369317878747,0.8983310330763392
62,0.8392690337954916,0.88028166731473,0.9214916486764707,0.8982919358100592
63,0.8405238167028153,0.8807782644048261,0.9228260896972851,0.8982452549375615
64,0.8416191765149132,0.881174521723526,0.9240234696331869,0.8982076610283677
65,0.8427182321792378,0.8815661434400182,0.9251594573608112,0.8981442781925225
66,0.8438627871886218,0.8819943785630082,0.9263797454354878,0.8980796727253112
67,0.8447915341910908,0.8823400157303897,0.9273655075317329,0.8980563464043395
68,0.8458110051921727,0.8827003455756615,0.9284243127143006,0.8979825856993681
69,0.8467853784264991,0.8830648055055379,0.9294431143828755,0.8979279270528367
70,0.8476395999913615,0.8833583552966591,0.9303834487101607,0.8979074283854585
71,0.8485724588876598,0.8836716528976042,0.9313326630616554,0.8978037524631437
72,0.8494297183986926,0.8839410390353962,0.9322080458034806,0.8977339064557421
73,0.8502224802713673,0.8842563028903574,0.9330531135346811,0.8977202086822813
74,0.8510489342692926,0.8845793179976639,0.9339337911974512,0.8977195241674846
75,0.8517631931012649,0.8849878165542586,0.9346858693679019,0.8977362374034468
76,0.8528013668455693,0.8851945418581069,0.9355061631063433,0.8972049778627041
77,0.8574903972566563,0.8839720228330237,0.9347362797389397,0.8828284351787762
78,0.857863429867251,0.8839118052222142,0.9346635854280062,0.8813823758214793
79,0.8578281136337197,0.8839387139300278,0.9346360988042934,0.8810488809963654
80,0.8578272350327062,0.8839414801998758,0.9346375116310854,0.8810349102027071
