frame,%displacement,globalPeeq,localPeeq
1,0.004,0.001032313388894197,0.0023995128597169204
2,0.008,0.0041551513766882086,0.008161613364865275
3,0.012,0.007664025196920965,0.014377894295724607
4,0.016,0.01127409988944043,0.020910655812355787
5,0.02,0.014935610019188009,0.027586758544291316
6,0.024,0.01862304465179205,0.03445614564170444
7,0.028,0.02233036469248221,0.04143420704767929
8,0.032,0.026044367149276774,0.04850124399798424
9,0.036000000000000004,0.02976124894961531,0.055633749772149695
10,0.04000000000000001,0.03347459376544283,0.0628176680670065
11,0.044,0.03718252087707693,0.07005980570871434
12,0.048,0.04088583147118189,0.07733076600303901
13,0.052000000000000005,0.04457984110123399,0.08462030075825021
14,0.05600000000000001,0.048263725765379864,0.09193686759958666
15,0.06,0.051939204230319946,0.09928313276558097
16,0.064,0.05560398059109199,0.10662526520815464
17,0.068,0.05925730576244122,0.11397072207422085
18,0.07200000000000001,0.06289881121615779,0.12133658158858472
19,0.07600000000000001,0.06652987109354172,0.12870488179927803
20,0.08,0.07014914074889331,0.13608280713654372
21,0.084,0.07375827500134927,0.1434557574101177
22,0.08800000000000001,0.0773553132501203,0.15083218251021976
