PEEQ_avg,eta_avg,thetabar_avg
2.09E-05,0.057262226,0.518869592
0.000198784,0.123673459,0.513472138
0.000566945,0.200190347,0.499612305
0.001238415,0.2338613,0.558123735
0.002344324,0.247591478,0.597287257
0.003962263,0.247800222,0.590353992
0.005916579,0.2392612,0.556488192
0.008077071,0.23072818,0.523737335
0.010603738,0.217029627,0.471308423
0.013709232,0.205537702,0.423814485
0.017260324,0.194429877,0.379270273
0.020821264,0.183282713,0.339695122
0.024798321,0.169609101,0.288367219
0.029542666,0.167795378,0.277386586
0.034618323,0.160120025,0.245590976
0.039689167,0.150862855,0.211314614
0.045576797,0.138005912,0.163610158
0.051889439,0.13959707,0.158546173
0.058440768,0.130444041,0.121202649
0.06513176,0.11977033,0.08302056
0.072265205,0.124613752,0.082786839
0.080209255,0.114788444,0.043322985
0.087782538,0.120959523,0.052383657
0.095762015,0.115513669,0.019567109
0.104105369,0.123051723,0.031241921
0.112911681,0.118460037,0.00059535
0.121104672,0.12956162,0.022157448
0.130297901,0.134473947,0.027191651
0.139427798,0.135314823,0.016931187
0.148073613,0.146067689,0.044613448
0.157356051,0.155677266,0.073388401
0.167039497,0.164664723,0.10384843
0.176444614,0.173856429,0.140441845
0.185553085,0.183038753,0.180545068
0.194909728,0.199179175,0.261371009
0.204352618,0.210141264,0.315602144
0.213339692,0.227184542,0.404206254
0.222266791,0.243485852,0.482685574
0.231303841,0.261499633,0.562831369
0.240143587,0.279490702,0.636629039
0.248809405,0.295145012,0.696091236
0.257604947,0.310026542,0.750408821
0.266318644,0.320245621,0.787294159
0.274996543,0.32886179,0.818092009
0.283557814,0.334444553,0.839173062
0.292175255,0.338215408,0.85433493
0.300843976,0.341065063,0.865653663
0.309402088,0.343139062,0.873363608
0.317856463,0.34441545,0.878409096
0.326342438,0.345100619,0.881344361
0.334856312,0.345388321,0.883186511
0.343270858,0.345499975,0.884290558
0.35153655,0.34533077,0.884981184
0.359746383,0.34502874,0.885359184
0.367926554,0.344646402,0.885623672
0.375972527,0.344177893,0.885817032
0.384760322,0.34365666,0.886244153
0.391346346,0.343295828,0.88643428
0.399572102,0.342831841,0.886993697
0.407161793,0.342499126,0.887532617
0.414561347,0.342172903,0.888205683
0.422615605,0.341901312,0.889149314
0.428743604,0.341742549,0.889781546
0.435872142,0.341590738,0.890749288
0.443156587,0.341454452,0.891755582
0.449314186,0.341404401,0.892755977
0.455924515,0.341337092,0.893897943
0.462133569,0.341338283,0.89491949
0.468162145,0.341350153,0.896117304
0.474507447,0.341356893,0.897337221
0.479986604,0.341430614,0.898478262
0.485931723,0.34148632,0.899722396
