PEEQ-23324,eta-23324,thetabar-23324
0,0.342895029,0.968223038
0,0.342870986,0.967258748
0.000953002,0.342407031,0.965489531
0.002340727,0.341635478,0.965376026
0.00407894,0.341093709,0.965001279
0.006256124,0.340666521,0.965454064
0.008890116,0.340433494,0.966137963
0.011854824,0.340150139,0.967016474
0.015215663,0.339662937,0.967782089
0.018915497,0.339167049,0.968179652
0.022753039,0.339163393,0.966338749
0.02690595,0.339079365,0.965081498
0.031359006,0.339037897,0.96370898
0.036175735,0.33888243,0.96208515
0.041408911,0.338702314,0.960881197
0.046975743,0.3391607,0.959309245
0.052977283,0.338900632,0.958679313
0.059403095,0.338625821,0.958368413
0.06623853,0.338208627,0.958505309
0.073411882,0.338017853,0.959085579
0.081190988,0.337062817,0.965583121
0.08945477,0.334094805,0.974196846
0.098300412,0.333425459,0.973410901
0.107238635,0.333181019,0.971996908
0.116074942,0.333049148,0.970582477
0.124947704,0.332836551,0.969627276
0.134010091,0.332854073,0.968666857
0.14320226,0.332910885,0.966928675
0.152311921,0.332649757,0.965813147
0.161507368,0.332841014,0.965348481
0.171355933,0.333028627,0.964740563
0.181619138,0.333758712,0.965663614
0.190423042,0.333701912,0.968648926
0.200890988,0.333980376,0.966494
0.211207971,0.334453067,0.965707501
0.22198692,0.334717798,0.966036906
0.232694998,0.334858456,0.967783519
0.241995245,0.335958128,0.963907729
0.252590656,0.335849577,0.962796925
0.262647241,0.335839408,0.965591676
0.270887524,0.336607008,0.967600687
0.280327976,0.336243917,0.967692622
0.290424436,0.335897306,0.96647123
0.2995947,0.336359987,0.961617194
0.309663296,0.336306055,0.959428348
0.318546563,0.337572025,0.964789084
0.328623831,0.337270616,0.964294205
0.337571084,0.337929145,0.96336111
0.347535253,0.338277426,0.964700285
0.356200308,0.33828509,0.965076107
0.365982592,0.338470627,0.96605582
0.374015242,0.338487884,0.966306314
0.383138537,0.337868078,0.96942857
0.391713917,0.337718486,0.969687546
0.400104195,0.337760711,0.969955853
0.408910394,0.337581984,0.969292172
0.417538106,0.337421821,0.969911318
0.425748765,0.337017457,0.969543386
0.433455884,0.336958919,0.96717682
0.44211036,0.337170865,0.959245341
0.451892167,0.33771944,0.964904441
0.46326974,0.336168695,0.966281961
0.472318292,0.336517692,0.971948001
0.481337696,0.336480552,0.975468513
0.489998728,0.338141772,0.973277522
0.494336963,0.338871562,0.971929723
0.498319387,0.337018276,0.976229281
0.503345311,0.336216708,0.973515212
0.50938046,0.337992578,0.969499338
0.515363157,0.337964611,0.968127817
0.521440983,0.337974531,0.974489927
0.527546227,0.336281918,0.977353357
